[2026-08-18T23:26:15Z] [SUCCESS] catalog: capture_and_validate.sh: diagnostic (111 lines)
[2026-08-18T23:26:15Z] [SUCCESS] catalog: capture_full_raw_json.sh: diagnostic (110 lines)
[2026-08-18T23:26:15Z] [SUCCESS] catalog: capture_full_raw_json_verbose.sh: diagnostic (109 lines)
[2026-08-18T23:26:15Z] [SUCCESS] catalog: capture_full_raw.sh: diagnostic (76 lines)
[2026-08-18T23:26:15Z] [SUCCESS] catalog: capture_raw_json.sh: diagnostic (112 lines)
[2026-08-18T23:26:15Z] [SUCCESS] catalog: check_live_bundle.sh: unknown (51 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: collect-installer-logs.sh: unknown (31 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: connect-vnc.sh: unknown (2 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: deploy_and_verify_generic.sh: deploy (166 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: deploy_and_verify_realtime.sh: deploy (168 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: deploy_and_verify.sh: automation (176 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: deploy_and_verify_v3.sh: deploy (187 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: deploy_corrected.sh: deploy (200 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: deploy_generic_fixed.sh: deploy (185 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: deploy_generic.sh: deploy (144 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: deploy_verify.sh: deploy (200 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: diagnose-and-boot.sh: boot (142 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: diagnose_pages.sh: automation (61 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: diagnose_pages_v2.sh: diagnostic (58 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: emit_deploy_integration_with_citations.sh: automation (919 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: fetch_failed_logs.sh: unknown (43 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: final_correct_run.sh: unknown (14 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: fix_and_diagnose.sh: diagnostic (151 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: fix_and_run_patch.sh: unknown (18 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: fix_and_run.sh: unknown (14 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: fix_lockfile.sh: unknown (33 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: fix_pmos_boot_robust.sh: boot (183 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: fix_pmos_boot.sh: boot (145 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: fix_pmos_boot_with_vnc_handling.sh: boot (221 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: fix-pmos-installer.sh: automation (283 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: fix_workflow_and_rerun.sh: unknown (56 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: fix_workflow_master.sh: unknown (53 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: force_deploy_pages.sh: deploy (65 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: force_rebuild_and_verify.sh: deploy (77 lines)
[2026-08-18T23:26:16Z] [SUCCESS] catalog: force_rebuild_now.sh: unknown (57 lines)
[2026-08-18T23:26:17Z] [SUCCESS] catalog: force_redeploy_and_clear_cache.sh: deploy (23 lines)
[2026-08-18T23:26:17Z] [SUCCESS] catalog: inspect-environment.sh: fix (44 lines)
[2026-08-18T23:26:17Z] [SUCCESS] catalog: patch_and_run_final.sh: unknown (213 lines)
[2026-08-18T23:26:17Z] [SUCCESS] catalog: patch_app_jsx.sh: automation (168 lines)
[2026-08-18T23:26:17Z] [SUCCESS] catalog: patch_correct.sh: unknown (98 lines)
[2026-08-18T23:26:17Z] [SUCCESS] catalog: poll_until_live.sh: unknown (134 lines)
[2026-08-18T23:26:17Z] [SUCCESS] catalog: propagate_correct.sh: unknown (121 lines)
[2026-08-18T23:26:17Z] [SUCCESS] catalog: push_evidence.sh: deploy (37 lines)
